plate	well	strain	background
nonfloc_P1	F04	seg_08B	SxY
nonfloc_P1	F05	seg_10D	SxY
nonfloc_P1	F06	seg_13B	SxY
nonfloc_P1	F07	seg_15C	SxY
nonfloc_P1	F08	seg_18A	SxY
nonfloc_P1	F09	seg_20C	SxY
nonfloc_P1	F10	seg_23C	SxY
nonfloc_P1	F11	seg_25C	SxY
nonfloc_P1	F12	seg_27D	SxY
nonfloc_P1	G01	YJM789	YJM789
nonfloc_P1	G02	seg_03A	SxY
nonfloc_P1	G03	seg_05D	SxY
nonfloc_P1	G04	seg_08C	SxY
nonfloc_P1	G05	seg_11A	SxY
nonfloc_P1	G06	seg_13C	SxY
nonfloc_P1	G07	seg_16A	SxY
nonfloc_P1	G08	seg_18C	SxY
nonfloc_P1	G09	seg_20D	SxY
nonfloc_P1	G10	seg_23D	SxY
nonfloc_P1	G11	seg_25D	SxY
nonfloc_P1	G12	empty	empty
nonfloc_P1	H01	YJM789	YJM789
nonfloc_P1	H02	seg_03C	SxY
nonfloc_P1	H03	seg_06A	SxY
nonfloc_P1	H04	seg_08D	SxY
nonfloc_P1	H05	seg_11C	SxY
nonfloc_P1	H06	seg_13D	SxY
nonfloc_P1	H07	seg_16B	SxY
nonfloc_P1	H08	seg_18D	SxY
nonfloc_P1	H09	seg_21A	SxY
nonfloc_P1	H10	seg_24A	SxY
nonfloc_P1	H11	seg_26A	SxY
nonfloc_P1	H12	empty	empty
nonfloc_P2	A01	empty	empty
nonfloc_P2	A02	seg_28A	SxY
nonfloc_P2	A03	seg_30C	SxY
nonfloc_P2	A04	seg_32D	SxY
nonfloc_P2	A05	seg_35C	SxY
nonfloc_P2	A06	seg_37D	SxY
nonfloc_P2	A07	seg_40B	SxY
nonfloc_P2	A08	seg_43A	SxY
nonfloc_P2	A09	seg_45C	SxY
nonfloc_P2	A10	seg_47C	SxY
nonfloc_P2	A11	seg_24B	SxY
nonfloc_P2	A12	seg_26B	SxY
nonfloc_P2	B01	empty	empty
nonfloc_P2	B02	seg_28B	SxY
nonfloc_P2	B03	seg_30D	SxY
nonfloc_P2	B04	seg_33A	SxY
nonfloc_P2	B05	seg_35D	SxY
nonfloc_P2	B06	seg_38B	SxY
nonfloc_P2	B07	seg_40D	SxY
nonfloc_P2	B08	seg_43B	SxY
nonfloc_P2	B09	seg_45D	SxY
nonfloc_P2	B10	seg_48A	SxY
nonfloc_P2	B11	seg_24C	SxY
nonfloc_P2	B12	seg_26C	SxY
nonfloc_P2	C01	S96	S96
nonfloc_P2	C02	seg_28C	SxY
nonfloc_P2	C03	seg_31A	SxY
nonfloc_P2	C04	seg_33C	SxY
nonfloc_P2	C05	seg_36A	SxY
nonfloc_P2	C06	seg_38C	SxY
nonfloc_P2	C07	seg_41B	SxY
nonfloc_P2	C08	seg_43D	SxY
nonfloc_P2	C09	seg_46A	SxY
nonfloc_P2	C10	seg_48D	SxY
nonfloc_P2	C11	seg_24D	SxY
nonfloc_P2	C12	seg_27A	SxY
nonfloc_P2	D01	S96	S96
nonfloc_P2	D02	seg_28D	SxY
nonfloc_P2	D03	seg_31B	SxY
nonfloc_P2	D04	seg_33D	SxY
nonfloc_P2	D05	seg_36B	SxY
nonfloc_P2	D06	seg_38D	SxY
nonfloc_P2	D07	seg_41C	SxY
nonfloc_P2	D08	seg_44A	SxY
nonfloc_P2	D09	seg_46B	SxY
nonfloc_P2	D10	seg_49A	SxY
nonfloc_P2	D11	seg_25A	SxY
nonfloc_P2	D12	seg_27B	SxY
nonfloc_P2	E01	S96	S96
nonfloc_P2	E02	seg_29B	SxY
nonfloc_P2	E03	seg_31C	SxY
nonfloc_P2	E04	seg_34B	SxY
nonfloc_P2	E05	seg_36C	SxY
nonfloc_P2	E06	seg_39A	SxY
nonfloc_P2	E07	seg_41D	SxY
nonfloc_P2	E08	seg_44B	SxY
nonfloc_P2	E09	seg_46C	SxY
nonfloc_P2	E10	seg_49B	SxY
nonfloc_P2	E11	seg_25B	SxY
nonfloc_P2	E12	seg_27C	SxY
nonfloc_P2	F01	YJM789	YJM789
nonfloc_P2	F02	seg_29C	SxY
nonfloc_P2	F03	seg_31D	SxY
nonfloc_P2	F04	seg_34C	SxY
nonfloc_P2	F05	seg_36D	SxY
nonfloc_P2	F06	seg_39C	SxY
nonfloc_P2	F07	seg_42A	SxY
nonfloc_P2	F08	seg_44C	SxY
nonfloc_P2	F09	seg_46D	SxY
nonfloc_P2	F10	seg_50A	SxY
nonfloc_P2	F11	seg_25C	SxY
nonfloc_P2	F12	seg_27D	SxY
nonfloc_P2	G01	YJM789	YJM789
nonfloc_P2	G02	seg_29D	SxY
nonfloc_P2	G03	seg_32A	SxY
nonfloc_P2	G04	seg_34D	SxY
nonfloc_P2	G05	seg_37B	SxY
nonfloc_P2	G06	seg_39D	SxY
nonfloc_P2	G07	seg_42B	SxY
nonfloc_P2	G08	seg_44D	SxY
nonfloc_P2	G09	seg_47A	SxY
nonfloc_P2	G10	seg_50B	SxY
nonfloc_P2	G11	seg_25D	SxY
nonfloc_P2	G12	empty	empty
nonfloc_P2	H01	YJM789	YJM789
nonfloc_P2	H02	seg_30A	SxY
nonfloc_P2	H03	seg_32B	SxY
nonfloc_P2	H04	seg_35B	SxY
nonfloc_P2	H05	seg_37C	SxY
nonfloc_P2	H06	seg_40A	SxY
nonfloc_P2	H07	seg_42C	SxY
nonfloc_P2	H08	seg_45A	SxY
nonfloc_P2	H09	seg_47B	SxY
nonfloc_P2	H10	seg_50D	SxY
nonfloc_P2	H11	seg_26A	SxY
nonfloc_P2	H12	empty	empty
